Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,101.980003,102.019997,98.269997,99.220001,99.220001,1912400
2023-08-15,98.250000,99.230003,97.080002,97.800003,97.800003,1967400
2023-08-16,97.790001,98.449997,93.870003,94.010002,94.010002,2570800
2023-08-17,94.150002,95.309998,92.379997,92.470001,92.470001,2417900
2023-08-18,91.250000,95.000000,91.139999,94.800003,94.800003,1819900
2023-08-21,95.889999,98.699997,95.629997,98.080002,98.080002,1850100
2023-08-22,96.650002,98.949997,96.510002,98.510002,98.510002,1642500
2023-08-23,95.360001,100.400002,94.820000,99.209999,99.209999,1755500
2023-08-24,99.160004,99.559998,94.809998,95.099998,95.099998,1485200
2023-08-25,95.779999,96.760002,93.940002,95.559998,95.559998,974400
2023-08-28,96.239998,97.349998,95.970001,96.839996,96.839996,1178900
2023-08-29,96.400002,97.690002,95.610001,97.349998,97.349998,961400
2023-08-30,97.669998,98.309998,95.639999,96.839996,96.839996,917500
2023-08-31,96.839996,98.790001,96.839996,97.339996,97.339996,853300
2023-09-01,98.690002,100.419998,98.480003,99.860001,99.860001,1010000
2023-09-05,99.709999,100.000000,96.959999,98.389999,98.389999,1079200
2023-09-06,98.000000,98.919998,96.309998,96.360001,96.360001,1185200
2023-09-07,93.480003,97.150002,92.290001,96.279999,96.279999,1822100
2023-09-08,96.279999,96.470001,93.260002,93.370003,93.370003,1034700
2023-09-11,94.290001,95.410004,92.360001,92.750000,92.750000,978100
2023-09-12,92.269997,93.480003,91.750000,91.860001,91.860001,844600
2023-09-13,91.699997,91.910004,87.120003,89.510002,89.510002,2033800
2023-09-14,90.660004,90.769997,88.239998,90.720001,90.720001,1153400
2023-09-15,90.110001,90.660004,87.269997,87.989998,87.989998,3329400
2023-09-18,87.760002,88.980003,86.629997,87.620003,87.620003,1505900
2023-09-19,88.040001,90.360001,88.000000,89.680000,89.680000,1632000
2023-09-20,90.070000,90.699997,87.889999,87.940002,87.940002,910600
2023-09-21,86.769997,87.500000,86.000000,86.080002,86.080002,1073700
2023-09-22,87.239998,87.529999,85.449997,86.449997,86.449997,784100
2023-09-25,85.529999,86.790001,85.010002,86.309998,86.309998,880400
2023-09-26,85.510002,86.400002,83.790001,83.860001,83.860001,1115900
2023-09-27,84.400002,85.870003,83.389999,84.559998,84.559998,1074500
2023-09-28,84.720001,85.910004,83.739998,85.870003,85.870003,1270500
2023-09-29,89.820000,90.629997,87.489998,88.230003,88.230003,1800500
2023-10-02,88.230003,89.980003,87.800003,87.879997,87.879997,1461900
2023-10-03,86.940002,87.419998,84.500000,85.940002,85.940002,1339300
2023-10-04,85.150002,86.190002,83.639999,85.489998,85.489998,1437200
2023-10-05,85.730003,86.570000,83.919998,84.269997,84.269997,993100
2023-10-06,83.330002,85.699997,82.750000,84.820000,84.820000,926400
2023-10-09,83.690002,85.620003,82.589996,85.199997,85.199997,946300
2023-10-10,85.660004,88.059998,85.489998,86.940002,86.940002,1042600
2023-10-11,86.800003,87.889999,85.220001,86.580002,86.580002,1068200
2023-10-12,87.900002,88.519997,84.589996,84.800003,84.800003,1370300
2023-10-13,84.779999,84.779999,82.250000,82.730003,82.730003,1161700
2023-10-16,83.199997,86.480003,83.190002,85.730003,85.730003,1610500
2023-10-17,85.589996,88.989998,85.589996,87.230003,87.230003,1600500
2023-10-18,86.180000,86.970001,85.050003,85.300003,85.300003,1209600
2023-10-19,85.300003,86.309998,84.139999,84.449997,84.449997,1292800
2023-10-20,86.800003,88.519997,85.059998,85.559998,85.559998,1290000
2023-10-23,85.279999,86.320000,84.279999,84.849998,84.849998,1087600
2023-10-24,86.269997,89.919998,86.269997,89.160004,89.160004,1539800
2023-10-25,88.889999,89.400002,87.470001,87.519997,87.519997,1076300
2023-10-26,87.160004,88.680000,85.709999,86.349998,86.349998,1271700
2023-10-27,87.080002,89.550003,85.839996,85.980003,85.980003,1113300
2023-10-30,87.000000,88.839996,87.000000,87.480003,87.480003,1242600
2023-10-31,87.400002,90.029999,87.400002,89.320000,89.320000,1398500
2023-11-01,89.320000,89.669998,84.690002,87.410004,87.410004,2640300
2023-11-02,74.199997,82.849998,74.000000,82.790001,82.790001,6414400
2023-11-03,84.000000,87.430000,82.589996,83.930000,83.930000,2183500
2023-11-06,84.279999,84.480003,81.029999,82.199997,82.199997,1495200
2023-11-07,82.290001,84.470001,82.199997,84.400002,84.400002,1194500
2023-11-08,84.400002,84.650002,81.629997,82.980003,82.980003,1322100
2023-11-09,83.570000,83.570000,79.190002,79.239998,79.239998,1425400
